"sub.id" "task.id" "Bas.run1" "Pro.run1" "Rea.run1" "Bas.run2" "Pro.run2" "Rea.run2"
"1" "102008" "Axcpt" "02-09-2017" NA NA "02-09-2017" NA NA
"2" "102008" "Cuedts" "02-09-2017" NA NA "02-09-2017" NA NA
"3" "102008" "Stern" "02-09-2017" NA NA "02-09-2017" NA NA
"4" "102008" "Stroop" "02-09-2017" NA NA "02-09-2017" NA NA
"5" "107321" "Axcpt" "06-04-2018" "06-20-2018" "07-15-2018" "06-04-2018" "06-20-2018" "07-15-2018"
"6" "107321" "Cuedts" "06-04-2018" "06-20-2018" "07-15-2018" "06-04-2018" "06-20-2018" "07-15-2018"
"7" "107321" "Stern" "06-04-2018" "06-20-2018" "07-15-2018" "06-04-2018" "06-20-2018" "07-15-2018"
"8" "107321" "Stroop" "06-04-2018" "06-20-2018" "07-15-2018" "06-04-2018" "06-20-2018" "07-15-2018"
"9" "115825" "Axcpt" "02-11-2017" "02-17-2017" "02-12-2017" "02-11-2017" "02-17-2017" "02-12-2017"
"10" "115825" "Cuedts" "02-11-2017" "02-17-2017" "02-12-2017" "02-11-2017" "02-17-2017" "02-12-2017"
"11" "115825" "Stern" "02-11-2017" "02-17-2017" "02-12-2017" "02-11-2017" "02-17-2017" "02-12-2017"
"12" "115825" "Stroop" "02-11-2017" "02-17-2017" "02-12-2017" "02-11-2017" "02-17-2017" "02-12-2017"
"13" "123117" "Axcpt" "04-11-2017" "05-06-2017" "05-02-2017" "04-12-2017" "05-06-2017" "05-02-2017"
"14" "123117" "Cuedts" "04-11-2017" "05-06-2017" "05-02-2017" "04-11-2017" "05-06-2017" "05-02-2017"
"15" "123117" "Stern" "04-11-2017" "05-06-2017" "05-02-2017" "04-11-2017" "05-06-2017" "05-02-2017"
"16" "123117" "Stroop" "04-11-2017" "05-06-2017" "05-02-2017" "04-11-2017" "05-06-2017" "05-02-2017"
"17" "130114" "Axcpt" "10-14-2016" "10-17-2016" "10-29-2016" "10-14-2016" "10-17-2016" "10-29-2016"
"18" "130114" "Cuedts" "10-14-2016" "10-17-2016" "10-29-2016" "10-14-2016" "10-17-2016" "10-29-2016"
"19" "130114" "Stern" "10-14-2016" "10-17-2016" "10-29-2016" "10-14-2016" "10-17-2016" "10-29-2016"
"20" "130114" "Stroop" "10-14-2016" "10-17-2016" "10-29-2016" "10-14-2016" "10-17-2016" "10-29-2016"
"21" "130518" "Axcpt" "01-16-2017" "02-23-2017" "01-20-2017" "01-16-2017" "02-23-2017" "01-20-2017"
"22" "130518" "Cuedts" "01-16-2017" "02-23-2017" "01-20-2017" "01-16-2017" "02-23-2017" "01-20-2017"
"23" "130518" "Stern" "01-16-2017" "02-23-2017" "01-20-2017" "01-16-2017" "02-23-2017" "01-20-2017"
"24" "130518" "Stroop" "01-16-2017" "02-23-2017" "01-20-2017" "01-16-2017" "02-23-2017" "01-20-2017"
"25" "132017" "Axcpt" "06-03-2017" "06-04-2017" "06-05-2017" "06-03-2017" "06-04-2017" "06-05-2017"
"26" "132017" "Cuedts" "06-03-2017" "06-04-2017" "06-05-2017" "06-03-2017" "06-04-2017" "06-05-2017"
"27" "132017" "Stern" "06-03-2017" "06-04-2017" "06-05-2017" "06-03-2017" "06-04-2017" "06-05-2017"
"28" "132017" "Stroop" "06-03-2017" "06-04-2017" "06-05-2017" "06-03-2017" "06-04-2017" "06-05-2017"
"29" "135730" "Axcpt" "03-17-2019" "03-23-2019" "03-21-2019" "03-17-2019" "03-23-2019" "03-21-2019"
"30" "135730" "Cuedts" "03-17-2019" "03-23-2019" "03-21-2019" "03-17-2019" "03-23-2019" "03-21-2019"
"31" "135730" "Stern" "03-17-2019" "03-23-2019" "03-21-2019" "03-17-2019" "03-23-2019" "03-21-2019"
"32" "135730" "Stroop" "03-17-2019" "03-23-2019" "03-21-2019" "03-17-2019" "03-23-2019" "03-21-2019"
"33" "138837" "Axcpt" "06-16-2017" "07-07-2017" "06-23-2017" "06-16-2017" "07-07-2017" "06-23-2017"
"34" "138837" "Cuedts" "06-16-2017" "07-07-2017" "06-23-2017" "06-16-2017" "07-07-2017" "06-23-2017"
"35" "138837" "Stern" "06-16-2017" "07-07-2017" "06-23-2017" "06-16-2017" "07-07-2017" "06-23-2017"
"36" "138837" "Stroop" "06-16-2017" "07-07-2017" "06-23-2017" "06-16-2017" "07-07-2017" "06-23-2017"
"37" "141422" "Axcpt" "01-27-2017" "03-06-2017" "04-10-2017" "01-27-2017" "03-06-2017" "04-10-2017"
"38" "141422" "Cuedts" "01-27-2017" "03-06-2017" "04-10-2017" "01-27-2017" "03-06-2017" "04-10-2017"
"39" "141422" "Stern" "01-27-2017" "03-06-2017" "04-10-2017" "01-27-2017" "03-06-2017" "04-10-2017"
"40" "141422" "Stroop" "01-27-2017" "03-06-2017" "04-10-2017" "01-27-2017" "03-06-2017" "04-10-2017"
"41" "150423" "Axcpt" "12-03-2016" "12-22-2016" "12-15-2016" "12-03-2016" "12-22-2016" "12-15-2016"
"42" "150423" "Cuedts" "12-03-2016" "12-22-2016" "12-15-2016" "12-03-2016" "12-22-2016" "12-15-2016"
"43" "150423" "Stern" "12-03-2016" "12-22-2016" "12-15-2016" "12-03-2016" "12-22-2016" "12-15-2016"
"44" "150423" "Stroop" "12-03-2016" "12-22-2016" "12-15-2016" "12-03-2016" "12-22-2016" "12-15-2016"
"45" "153429" "Axcpt" "05-04-2019" "08-10-2019" "08-24-2019" "05-04-2019" "08-10-2019" "08-24-2019"
"46" "153429" "Cuedts" "05-04-2019" "08-10-2019" "08-24-2019" "05-04-2019" "08-10-2019" "08-24-2019"
"47" "153429" "Stern" NA "08-10-2019" "08-24-2019" NA "08-10-2019" "08-24-2019"
"48" "153429" "Stroop" "05-04-2019" "08-10-2019" "08-24-2019" "05-04-2019" "08-10-2019" "08-24-2019"
"49" "155938" "Axcpt" "10-23-2016" "11-03-2016" "11-04-2016" "10-23-2016" "11-03-2016" "11-04-2016"
"50" "155938" "Cuedts" "10-23-2016" "11-03-2016" "11-04-2016" "10-23-2016" "11-03-2016" "11-04-2016"
"51" "155938" "Stern" "10-23-2016" "11-03-2016" "11-04-2016" "10-23-2016" "11-03-2016" "11-04-2016"
"52" "155938" "Stroop" "10-23-2016" "11-03-2016" "11-04-2016" "10-23-2016" "11-03-2016" "11-04-2016"
"53" "158136" "Axcpt" "11-20-2016" "12-01-2016" "11-21-2016" "11-20-2016" "12-01-2016" "11-21-2016"
"54" "158136" "Cuedts" "11-20-2016" "12-01-2016" "11-21-2016" "11-20-2016" "12-01-2016" "11-21-2016"
"55" "158136" "Stern" "11-20-2016" "12-01-2016" "11-21-2016" "11-20-2016" "12-01-2016" "11-21-2016"
"56" "158136" "Stroop" "11-20-2016" "12-01-2016" "11-21-2016" "11-20-2016" "12-01-2016" "11-21-2016"
"57" "160830" "Axcpt" "05-19-2018" "06-02-2018" "06-03-2018" "05-19-2018" "06-02-2018" "06-03-2018"
"58" "160830" "Cuedts" "05-19-2018" "06-02-2018" "06-03-2018" "05-19-2018" "06-02-2018" "06-03-2018"
"59" "160830" "Stern" "05-19-2018" "06-02-2018" "06-03-2018" "05-19-2018" "06-02-2018" "06-03-2018"
"60" "160830" "Stroop" "05-19-2018" "06-02-2018" "06-03-2018" "05-19-2018" "06-02-2018" "06-03-2018"
"61" "161832" "Axcpt" "04-08-2018" "04-22-2018" "05-06-2018" "04-08-2018" "04-22-2018" "05-06-2018"
"62" "161832" "Cuedts" "04-08-2018" "04-22-2018" "05-06-2018" "04-08-2018" "04-22-2018" "05-06-2018"
"63" "161832" "Stern" "04-08-2018" "04-22-2018" "05-06-2018" "04-08-2018" "04-22-2018" "05-06-2018"
"64" "161832" "Stroop" "04-08-2018" "04-22-2018" "05-06-2018" "04-08-2018" "04-22-2018" "05-06-2018"
"65" "165032" "Axcpt" "11-30-2017" "12-06-2017" "12-08-2017" "11-30-2017" "12-06-2017" "12-08-2017"
"66" "165032" "Cuedts" "11-30-2017" "12-06-2017" "12-08-2017" "11-30-2017" "12-06-2017" "12-08-2017"
"67" "165032" "Stern" "11-30-2017" "12-06-2017" "12-08-2017" "11-30-2017" "12-06-2017" "12-08-2017"
"68" "165032" "Stroop" "11-30-2017" "12-06-2017" "12-08-2017" "11-30-2017" "12-06-2017" "12-08-2017"
"69" "171330" "Axcpt" "11-04-2017" "12-08-2017" "12-23-2017" "11-04-2017" "12-08-2017" "12-23-2017"
"70" "171330" "Cuedts" "11-04-2017" "12-08-2017" "12-23-2017" "11-04-2017" "12-08-2017" "12-23-2017"
"71" "171330" "Stern" "11-04-2017" "12-08-2017" "12-23-2017" "11-04-2017" "12-08-2017" "12-23-2017"
"72" "171330" "Stroop" "11-04-2017" "12-08-2017" "12-23-2017" "11-04-2017" "12-08-2017" "12-23-2017"
"73" "173738" "Axcpt" "02-23-2019" "03-05-2019" "04-10-2019" "02-23-2019" "03-05-2019" "04-10-2019"
"74" "173738" "Cuedts" "02-23-2019" "03-05-2019" "04-10-2019" "02-23-2019" "03-05-2019" "04-10-2019"
"75" "173738" "Stern" "02-23-2019" "03-05-2019" "04-10-2019" "02-23-2019" "03-05-2019" "04-10-2019"
"76" "173738" "Stroop" "02-23-2019" "03-05-2019" "04-10-2019" "02-23-2019" "03-05-2019" "04-10-2019"
"77" "176845" "Axcpt" "10-21-2019" "11-29-2019" "01-05-2020" "10-21-2019" "11-29-2019" "01-05-2020"
"78" "176845" "Cuedts" "10-21-2019" "11-29-2019" "01-05-2020" "10-21-2019" "11-29-2019" "01-05-2020"
"79" "176845" "Stern" "10-21-2019" "11-29-2019" "01-05-2020" "10-21-2019" "11-29-2019" "01-05-2020"
"80" "176845" "Stroop" "10-21-2019" "11-29-2019" "01-05-2020" "10-21-2019" "11-29-2019" "01-05-2020"
"81" "178243" "Axcpt" "02-25-2017" "03-12-2017" "03-11-2017" "02-25-2017" "03-12-2017" "03-11-2017"
"82" "178243" "Cuedts" "02-25-2017" "03-12-2017" "03-11-2017" "02-25-2017" "03-12-2017" "03-11-2017"
"83" "178243" "Stern" "02-25-2017" "03-12-2017" "03-11-2017" "02-25-2017" "03-12-2017" "03-11-2017"
"84" "178243" "Stroop" "02-25-2017" "03-12-2017" "03-11-2017" "02-25-2017" "03-12-2017" "03-11-2017"
"85" "178647" "Axcpt" "12-02-2016" "12-17-2016" "12-03-2016" "12-02-2016" "12-17-2016" "12-03-2016"
"86" "178647" "Cuedts" "12-02-2016" "12-17-2016" "12-03-2016" "12-02-2016" "12-17-2016" "12-03-2016"
"87" "178647" "Stern" "12-02-2016" "12-17-2016" "12-03-2016" "12-02-2016" "12-17-2016" "12-03-2016"
"88" "178647" "Stroop" "12-02-2016" "12-17-2016" "12-03-2016" "12-02-2016" "12-17-2016" "12-03-2016"
"89" "178950" "Axcpt" "05-06-2017" "05-07-2017" "05-20-2017" "05-06-2017" "05-07-2017" "05-20-2017"
"90" "178950" "Cuedts" "05-06-2017" "05-07-2017" "05-20-2017" "05-06-2017" "05-07-2017" "05-20-2017"
"91" "178950" "Stern" "05-06-2017" "05-07-2017" "05-20-2017" "05-06-2017" "05-07-2017" "05-20-2017"
"92" "178950" "Stroop" "05-06-2017" "05-07-2017" "05-20-2017" "05-06-2017" "05-07-2017" "05-20-2017"
