"session","task","run","subj","name","trial.type","iti","cue","probe","target.color","location","cue.cresp","target.cresp","cue.rt","cue.acc","cue.resp","target.rt","target.acc","target.resp","trialacc","time.cue.onset.abs","time.target.onset.abs","time.target.rt.abs","time.cue.rt.abs","time.scan.start","trial.num","acc","time.cue.onset","time.cue.rt","time.target.onset","time.target.rt","time.block1.on","time.block2.on","time.block3.on","time.block1.off","time.block2.off","time.block3.off"
"bas","axc",1,"130114","bas_axc_run1_130114","BY",2800,"U","D","white","center",1,1,363,1,1,531,1,1,1,124186,128986,129517,124549,93572,1,1,30.614,30.977,35.414,35.945,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AY",4000,"A","N","white","center",1,1,488,1,1,671,1,1,1,132586,137385,138056,133074,93572,2,1,39.014,39.502,43.813,44.484,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","Ang",2800,"A","3","white","center",1,NA,412,1,1,0,1,NA,1,142185,146984,0,142597,93572,3,1,48.613,49.025,53.412,-93.572,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",1600,"A","X","white","center",1,2,380,1,1,582,1,2,1,150584,155383,155965,150964,93572,4,1,57.012,57.392,61.811,62.393,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","Bng",2800,"T","9","white","center",1,NA,372,1,1,531,0,1,0,157783,162583,163114,158155,93572,5,0,64.211,64.583,69.011,69.542,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",1600,"A","X","white","center",1,2,384,1,1,364,1,2,1,166182,170982,171346,166566,93572,6,1,72.61,72.994,77.41,77.774,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",4000,"A","X","white","center",1,2,371,1,1,404,1,2,1,173382,178181,178585,173753,93572,7,1,79.81,80.181,84.609,85.013,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","BY",4000,"D","T","white","center",1,1,585,1,1,398,1,1,1,182981,187780,188178,183566,93572,8,1,89.409,89.994,94.208,94.606,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","BY",1600,"C","D","white","center",1,1,450,1,1,371,1,1,1,192580,197379,197750,193030,93572,9,1,99.008,99.458,103.807,104.178,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","Bng",1600,"T","6","white","center",1,NA,545,1,1,0,1,NA,1,199779,204579,0,200324,93572,10,1,106.207,106.752,111.007,-93.572,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",2800,"A","X","white","center",1,2,468,1,1,361,1,2,1,206979,211778,212139,207447,93572,11,1,113.407,113.875,118.206,118.567,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","BY",4000,"M","P","white","center",1,1,490,1,1,560,1,1,1,215378,220194,220754,215868,93572,12,1,121.806,122.296,126.622,127.182,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","Ang",2800,"A","1","white","center",1,NA,390,1,1,0,1,NA,1,224994,229793,0,225384,93572,13,1,131.422,131.812,136.221,-93.572,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","BY",1600,"P","M","white","center",1,1,361,1,1,522,1,1,1,233393,238192,238714,233754,93572,14,1,139.821,140.182,144.62,145.142,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AY",1600,"A","D","white","center",1,1,577,1,1,545,1,1,1,240592,245392,245937,241169,93572,15,1,147.02,147.597,151.82,152.365,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","BX",1600,"U","X","white","center",1,1,598,1,1,694,0,2,0,247791,252591,253285,248389,93572,16,0,154.219,154.817,159.019,159.713,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","BY",4000,"N","P","white","center",1,1,506,1,1,739,1,1,1,254991,259790,260529,255497,93572,17,1,161.419,161.925,166.218,166.957,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","BY",4000,"F","C","white","center",1,1,520,1,1,427,1,1,1,264590,269389,269816,265110,93572,18,1,171.018,171.538,175.817,176.244,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",2800,"A","X","white","center",1,2,529,1,1,311,1,2,1,274189,278989,279300,274718,93572,19,1,180.617,181.146,185.417,185.728,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","BY",4000,"F","M","white","center",1,1,535,1,1,497,1,1,1,282588,287388,287885,283123,93572,20,1,189.016,189.551,193.816,194.313,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",4000,"A","X","white","center",1,2,565,1,1,358,1,2,1,292187,296987,297345,292752,93572,21,1,198.615,199.18,203.415,203.773,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",2800,"A","X","white","center",1,2,437,1,1,0,0,NA,0,301786,306586,0,302223,93572,22,0,208.214,208.651,213.014,-93.572,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",1600,"A","X","white","center",1,2,346,1,1,681,1,2,1,310186,314985,315666,310532,93572,23,1,216.614,216.96,221.413,222.094,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","BX",2800,"M","X","white","center",1,1,458,1,1,634,1,1,1,317385,322185,322819,317843,93572,24,1,223.813,224.271,228.613,229.247,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",2800,"A","X","white","center",1,2,340,1,1,382,1,2,1,355781,360581,360963,356121,93572,25,1,262.209,262.549,267.009,267.391,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AY",1600,"A","T","white","center",1,1,298,1,1,629,1,1,1,364181,368980,369609,364479,93572,26,1,270.609,270.907,275.408,276.037,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","BY",4000,"H","U","white","center",1,1,442,1,1,468,1,1,1,371380,376179,376647,371822,93572,27,1,277.808,278.25,282.607,283.075,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","BX",1600,"C","X","white","center",1,1,357,1,1,0,0,NA,0,380979,385779,0,381336,93572,28,0,287.407,287.764,292.207,-93.572,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",2800,"A","X","white","center",1,2,416,1,1,359,1,2,1,388178,392978,393337,388594,93572,29,1,294.606,295.022,299.406,299.765,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",1600,"A","X","white","center",1,2,578,1,1,900,0,1,0,396578,401394,402294,397156,93572,30,0,303.006,303.584,307.822,308.722,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","Ang",2800,"A","5","white","center",1,NA,462,1,1,0,1,NA,1,403794,408593,0,404256,93572,31,1,310.222,310.684,315.021,-93.572,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",4000,"A","X","white","center",1,2,510,1,1,356,1,2,1,412193,416992,417348,412703,93572,32,1,318.621,319.131,323.42,323.776,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","AX",1600,"A","X","white","center",1,2,406,1,1,402,1,2,1,421792,426591,426993,422198,93572,33,1,328.22,328.626,333.019,333.421,28.415,260.01,491.621,231.629,463.224,694.836
"bas","axc",1,"130114","bas_axc_run1_130114","BY",2800,"C","M","white","center",1,1,0,0,NA,565,1,1,0,428991,433791,434356,0,93572,34,0,335.419,-93.572,340.219,340.784,28.415,260.01,491.621,231.629,463.224,694.836
