"session","task","run","subj","name","stimuli","number","letter","trial.type","cue","number.resp","letter.resp","award","switch","cue.color","target.color","target.color.orig","incentive","iti","acc","rt","resp","cresp","time.cue.onset.abs","time.target.onset.abs","time.rt.abs","time.scan.start","trial.num","time.cue.onset","time.target.onset","time.rt","time.block1.on","time.block2.on","time.block3.on","time.block1.off","time.block2.off","time.block3.off"
"bas","cue",1,"115825","bas_cue_run1_115825","5H","o","c","c","l",2,2,NA,NA,"red","black","black","nonincentive",4400,1,1838,2,2,130242,134742,136580,99136,1,31.106,35.606,37.444,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","H5","o","c","c","l",2,2,NA,"stay","red","black","black","nonincentive",4400,1,1637,2,2,143441,147941,149578,99136,2,44.305,48.805,50.442,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","4D","e","c","i","n",1,2,NA,"switch","red","black","green","nonincentive",3200,1,1123,1,1,156640,161140,162263,99136,3,57.504,62.004,63.127,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","2A","e","v","c","n",1,1,NA,"stay","red","black","black","nonincentive",4400,1,906,1,1,168656,173156,174062,99136,4,69.52,74.02,74.926,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","E3","o","v","i","l",2,1,NA,"switch","red","black","green","nonincentive",2000,1,1330,1,1,181855,186355,187685,99136,5,82.719,87.219,88.549,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","A2","e","v","c","l",1,1,NA,"stay","red","black","black","nonincentive",2000,1,1899,1,1,192654,197154,199053,99136,6,93.518,98.018,99.917,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","6I","e","v","c","n",1,1,NA,"switch","red","black","green","nonincentive",2000,1,1364,1,1,203453,207953,209317,99136,7,104.317,108.817,110.181,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","B1","o","c","c","l",2,2,NA,"switch","red","black","black","nonincentive",3200,1,1271,2,2,214253,218752,220023,99136,8,115.117,119.616,120.887,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","D4","e","c","i","l",1,2,NA,"stay","red","black","green","nonincentive",3200,1,2102,2,2,226252,230751,232853,99136,9,127.116,131.615,133.717,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","B1","o","c","c","n",2,2,NA,"switch","red","black","black","nonincentive",2000,1,1080,2,2,238251,242750,243830,99136,10,139.115,143.614,144.694,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","1B","o","c","c","n",2,2,NA,"stay","red","black","black","nonincentive",2000,1,1728,2,2,249050,253550,255278,99136,11,149.914,154.414,156.142,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","A2","e","v","c","n",1,1,NA,"stay","red","black","black","nonincentive",2000,1,2158,1,1,259849,264349,266507,99136,12,160.713,165.213,167.371,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","I6","e","v","c","n",1,1,NA,"stay","red","black","black","nonincentive",4400,1,1403,1,1,270648,275148,276551,99136,13,171.512,176.012,177.415,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","B2","e","c","i","n",1,2,NA,"stay","red","black","black","nonincentive",3200,1,1757,1,1,283847,288347,290104,99136,14,184.711,189.211,190.968,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","1A","o","v","i","l",2,1,NA,"switch","red","black","black","nonincentive",3200,1,1254,1,1,295846,300346,301600,99136,15,196.71,201.21,202.464,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","1B","o","c","c","l",2,2,NA,"stay","red","black","black","nonincentive",4400,1,2069,2,2,307845,312345,314414,99136,16,208.709,213.209,215.278,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","D4","e","c","i","n",1,2,NA,"switch","red","black","green","nonincentive",3200,1,1110,1,1,321044,325544,326654,99136,17,221.908,226.408,227.518,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","I6","e","v","c","l",1,1,NA,"switch","red","black","green","nonincentive",4400,0,2066,2,1,333044,337543,339609,99136,18,233.908,238.407,240.473,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","3E","o","v","i","l",2,1,NA,NA,"red","black","green","nonincentive",2000,1,1341,1,1,376240,380740,382081,99136,19,277.104,281.604,282.945,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","D4","e","c","i","l",1,2,NA,"stay","red","black","green","nonincentive",2000,1,938,2,2,387056,391556,392494,99136,20,287.92,292.42,293.358,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","E3","o","v","i","n",2,1,NA,"switch","red","black","green","nonincentive",3200,1,1496,2,2,397855,402355,403851,99136,21,298.719,303.219,304.715,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","1B","o","c","c","l",2,2,NA,"switch","red","black","black","nonincentive",4400,0,1864,1,2,409854,414354,416218,99136,22,310.718,315.218,317.082,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","5H","o","c","c","l",2,2,NA,"stay","red","black","black","nonincentive",3200,1,1935,2,2,423053,427553,429488,99136,23,323.917,328.417,330.352,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","B1","o","c","c","l",2,2,NA,"stay","red","black","black","nonincentive",4400,1,1609,2,2,435053,439552,441161,99136,24,335.917,340.416,342.025,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","A1","o","v","i","n",2,1,NA,"switch","red","black","black","nonincentive",3200,0,1920,1,2,448252,452751,454671,99136,25,349.116,353.615,355.535,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","A2","e","v","c","n",1,1,NA,"stay","red","black","black","nonincentive",4400,0,2409,2,1,460251,464750,467159,99136,26,361.115,365.614,368.023,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","2B","e","c","i","l",1,2,NA,"switch","red","black","black","nonincentive",2000,1,1521,2,2,473450,477949,479470,99136,27,374.314,378.813,380.334,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","1B","o","c","c","n",2,2,NA,"switch","red","black","black","nonincentive",4400,1,1437,2,2,484249,488748,490185,99136,28,385.113,389.612,391.049,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","3E","o","v","i","n",2,1,NA,"stay","red","black","green","nonincentive",2000,1,1693,2,2,497448,501947,503640,99136,29,398.312,402.811,404.504,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","6I","e","v","c","n",1,1,NA,"stay","red","black","black","nonincentive",3200,1,885,1,1,508247,512747,513632,99136,30,409.111,413.611,414.496,28.406,274.405,520.419,246.023,492.021,738.019
"bas","cue",1,"115825","bas_cue_run1_115825","2A","e","v","c","n",1,1,NA,"stay","red","black","black","nonincentive",3200,0,1042,2,1,520246,524746,525788,99136,31,421.11,425.61,426.652,28.406,274.405,520.419,246.023,492.021,738.019
