"session","task","run","subj","name","trial.type","load","numtrials","probe","iti","acc","rt","resp","cresp","time.cue.onset.abs","time.target.onset.abs","time.rt.abs","time.scan.start","trial.num","time.cue.onset","time.target.onset","time.rt","time.block1.on","time.block2.on","time.block3.on","time.block1.off","time.block2.off","time.block3.off"
"bas","ste",1,"197449","bas_ste_run1_197449","NP",5,3,"syrup",1600,1,1562,2,2,128505,137305,138867,97669,1,30.836,39.636,41.198,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",8,2,"scale",4000,1,937,1,1,140505,149292,150229,97669,2,42.836,51.623,52.56,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",8,2,"doll",4000,1,952,1,1,154892,163705,164657,97669,3,57.223,66.036,66.988,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",5,3,"threat",1600,1,1154,2,2,169305,178105,179259,97669,4,71.636,80.436,81.59,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",6,1,"parrot",1600,1,1176,1,1,181305,190092,191268,97669,5,83.636,92.423,93.599,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",8,2,"chance",2800,1,967,2,2,193292,202105,203072,97669,6,95.623,104.436,105.403,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",5,2,"blur",1600,1,844,1,1,206505,215305,216149,97669,7,108.836,117.636,118.48,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",7,2,"rash",2800,1,1475,2,2,218505,227292,228767,97669,8,120.836,129.623,131.098,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",5,2,"tube",4000,1,1041,1,1,231692,240505,241546,97669,9,134.023,142.836,143.877,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",5,3,"share",2800,1,1223,2,2,246105,254905,256128,97669,10,148.436,157.236,158.459,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",7,2,"wealth",2800,0,955,1,2,259305,268092,269047,97669,11,161.636,170.423,171.378,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",8,2,"bush",1600,1,1267,2,2,272492,281305,282572,97669,12,174.823,183.636,184.903,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",7,1,"straw",2800,1,856,1,1,284505,293305,294161,97669,13,186.836,195.636,196.492,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",6,1,"frost",4000,1,945,2,2,297705,306492,307437,97669,14,200.036,208.823,209.768,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","RN",5,1,"quart",4000,1,1787,1,1,312092,320905,322692,97669,15,214.423,223.236,225.023,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",6,1,"taxi",4000,1,973,1,1,356492,365305,366278,97669,16,258.823,267.636,268.609,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",8,2,"liar",1600,1,752,1,1,370905,379705,380457,97669,17,273.236,282.036,282.788,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",7,2,"need",4000,0,1208,1,2,382905,391692,392900,97669,18,285.236,294.023,295.231,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",7,2,"bean",2800,1,1294,2,2,397292,406105,407399,97669,19,299.623,308.436,309.73,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",8,3,"bees",1600,0,1016,1,2,410505,419305,420321,97669,20,312.836,321.636,322.652,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",5,3,"visit",2800,1,1891,2,2,422505,431292,433183,97669,21,324.836,333.623,335.514,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",7,1,"logic",4000,0,0,NA,1,435692,444505,0,97669,22,338.023,346.836,-97.669,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",5,3,"people",2800,1,971,2,2,450105,458905,459876,97669,23,352.436,361.236,362.207,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",8,2,"heater",1600,1,878,1,1,463305,472092,472970,97669,24,365.636,374.423,375.301,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","RN",5,1,"noise",2800,1,1116,1,1,475292,484105,485221,97669,25,377.623,386.436,387.552,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",5,2,"pole",1600,1,1009,1,1,488505,497305,498314,97669,26,390.836,399.636,400.645,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",8,3,"city",2800,0,1147,1,2,500505,509292,510439,97669,27,402.836,411.623,412.77,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",8,3,"carpet",1600,0,952,1,2,513692,522505,523457,97669,28,416.023,424.836,425.788,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",5,3,"tags",4000,0,939,1,2,525705,534505,535444,97669,29,428.036,436.836,437.775,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",5,2,"greed",4000,1,905,1,1,540105,548892,549797,97669,30,442.436,451.223,452.128,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",5,2,"pans",4000,0,0,NA,1,584505,593292,0,97669,31,486.836,495.623,-97.669,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",5,3,"muscle",4000,1,936,2,2,598892,607705,608641,97669,32,501.223,510.036,510.972,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",8,2,"bugs",2800,0,1197,1,2,613305,622105,623302,97669,33,515.636,524.436,525.633,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","RN",5,1,"fusion",1600,0,1286,2,1,626505,635292,636578,97669,34,528.836,537.623,538.909,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NN",8,2,"shell",1600,1,928,1,1,638492,647305,648233,97669,35,540.823,549.636,550.564,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",7,1,"clue",2800,0,0,NA,2,650505,659305,0,97669,36,552.836,561.636,-97.669,28.436,256.423,484.436,228.049,456.036,684.05
"bas","ste",1,"197449","bas_ste_run1_197449","NP",8,2,"wife",1600,1,1841,2,2,663705,672492,674333,97669,37,566.036,574.823,576.664,28.436,256.423,484.436,228.049,456.036,684.05
