Run#1Pol#0,Run#1Pol#1,Run#1Pol#2,Run#1Pol#3,Run#1Pol#4,Run#1Pol#5,alltrials#0,alltrials#1,alltrials#2,alltrials#3,alltrials#4,alltrials#5,alltrials#6,alltrials#7,alltrials#8,alltrials#9,alltrials#10,alltrials#11,alltrials#12,alltrials#13,alltrials#14,alltrials#15,alltrials#16,alltrials#17,alltrials#18,alltrials#19,alltrials#20,alltrials#21,alltrials#22,alltrials#23,alltrials#24,alltrials#25,alltrials#26,alltrials#27,alltrials#28,alltrials#29,alltrials#30,alltrials#31,alltrials#32,alltrials#33,alltrials#34,alltrials#35,alltrials#36,alltrials#37,alltrials#38,alltrials#39,alltrials#40,alltrials#41,alltrials#42,alltrials#43,alltrials#44,alltrials#45,alltrials#46,alltrials#47,alltrials#48,alltrials#49,alltrials#50,alltrials#51,alltrials#52,alltrials#53,alltrials#54,alltrials#55,alltrials#56,alltrials#57,alltrials#58,alltrials#59,alltrials#60,alltrials#61,alltrials#62,alltrials#63,alltrials#64,alltrials#65,alltrials#66,alltrials#67,alltrials#68,alltrials#69,alltrials#70,alltrials#71,alltrials#72,alltrials#73,alltrials#74,alltrials#75,alltrials#76,alltrials#77,alltrials#78,alltrials#79,alltrials#80,alltrials#81,alltrials#82,alltrials#83,alltrials#84,alltrials#85,alltrials#86,alltrials#87,alltrials#88,alltrials#89,alltrials#90,alltrials#91,alltrials#92,alltrials#93,alltrials#94,alltrials#95,alltrials#96,alltrials#97,alltrials#98,alltrials#99,alltrials#100,alltrials#101,alltrials#102,alltrials#103,alltrials#104,alltrials#105,alltrials#106,alltrials#107,movregs[0]#0,movregs[1]#0,movregs[2]#0,movregs[3]#0,movregs[4]#0,movregs[5]#0
1,-1,0.998145,-1,0.998137,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106352,-0.02395,0.249607,-0.000211,-0.004721,-0.000839
1,-0.996289,0.987034,-0.97784,0.96134,-0.945061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103742,0.233056,0.379586,-0.000406,-0.004721,-0.000722
1,-0.992579,0.975964,-0.955885,0.925157,-0.891546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106352,-0.091099,0.31134,9.7e-05,-0.004721,-0.000839
1,-0.988868,0.964935,-0.934136,0.889584,-0.839434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106352,-0.254257,0.273676,0.001286,-0.004721,-0.000839
1,-0.985158,0.953948,-0.91259,0.854613,-0.788704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083322,-0.014947,0.363127,0.000125,-0.005381,-2.6e-05
1,-0.981447,0.943002,-0.891248,0.820241,-0.739335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08641,-0.128641,0.292302,0.000873,-0.005113,-0.00015
1,-0.977737,0.932098,-0.870109,0.786463,-0.691308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082677,0.053536,0.354062,0.00053,-0.005484,1.5e-05
1,-0.974026,0.921235,-0.849172,0.753271,-0.6446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084612,0.013033,0.284494,0.000662,-0.005337,-5.6e-05
1,-0.970315,0.910413,-0.828436,0.720663,-0.599192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081534,0.078061,0.355518,0.000707,-0.005083,-0.000155
1,-0.966605,0.899632,-0.8079,0.688632,-0.555064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087383,0.060367,0.289824,0.001193,-0.005336,-7.2e-05
