task,subj,wave,session,trialtype,cresp,resp,acc,rt,trialnum,hilo,hilo_all
Axcpt,DMCC8033964,wave2,baseline,AX,2,2,1,704,1,,lo
Axcpt,DMCC8033964,wave2,baseline,Ang,,,1,0,2,,
Axcpt,DMCC8033964,wave2,baseline,BX,1,1,1,736,3,hi,hi
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,774,4,lo,lo
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,639,5,lo,lo
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,651,6,lo,lo
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,717,7,lo,lo
Axcpt,DMCC8033964,wave2,baseline,Bng,,,1,0,8,,
Axcpt,DMCC8033964,wave2,baseline,Bng,,,1,0,9,,
Axcpt,DMCC8033964,wave2,baseline,AY,1,1,1,696,10,,hi
Axcpt,DMCC8033964,wave2,baseline,AX,2,2,1,699,11,,lo
Axcpt,DMCC8033964,wave2,baseline,AY,1,1,1,672,12,,hi
Axcpt,DMCC8033964,wave2,baseline,AX,2,2,1,584,13,,lo
Axcpt,DMCC8033964,wave2,baseline,AX,2,2,1,621,14,,lo
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,583,15,lo,lo
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,546,16,lo,lo
Axcpt,DMCC8033964,wave2,baseline,Ang,,,1,0,17,,
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,525,18,lo,lo
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,540,19,lo,lo
Axcpt,DMCC8033964,wave2,baseline,AX,2,2,1,498,20,,lo
Axcpt,DMCC8033964,wave2,baseline,AX,2,2,1,472,21,,lo
Axcpt,DMCC8033964,wave2,baseline,BX,1,1,1,575,22,hi,hi
Axcpt,DMCC8033964,wave2,baseline,AX,2,2,1,558,23,,lo
Axcpt,DMCC8033964,wave2,baseline,AX,2,2,1,504,24,,lo
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,642,25,lo,lo
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,588,26,lo,lo
Axcpt,DMCC8033964,wave2,baseline,AX,2,2,1,608,27,,lo
Axcpt,DMCC8033964,wave2,baseline,BX,1,1,1,779,28,hi,hi
Axcpt,DMCC8033964,wave2,baseline,BX,1,1,1,589,29,hi,hi
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,489,30,lo,lo
Axcpt,DMCC8033964,wave2,baseline,AX,2,2,1,447,31,,lo
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,993,32,lo,lo
Axcpt,DMCC8033964,wave2,baseline,BY,1,1,1,616,33,lo,lo
