wave,session,task,run,subj,name,trial.type,load,numtrials,probe,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,trialtype,trialtype_alt
1,bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,syrup,1600,1,1556,1,1,137437,146236,147792,106615,1,30.822,39.621,41.177,28.422,256.419,484.416,228.024,456.02,684.034,LL5NP,NP_5
1,bas,ste,1,130518,bas_ste_run1_130518,NN,8,2,scale,4000,1,1059,2,2,149435,158234,159293,106615,2,42.82,51.619,52.678,28.422,256.419,484.416,228.024,456.02,684.034,not5NN,NN_8
1,bas,ste,1,130518,bas_ste_run1_130518,NN,8,2,doll,4000,1,716,2,2,163833,172631,173347,106615,3,57.218,66.016,66.732,28.422,256.419,484.416,228.024,456.02,684.034,not5NN,NN_8
1,bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,threat,4000,1,631,1,1,178230,187029,187660,106615,4,71.615,80.414,81.045,28.422,256.419,484.416,228.024,456.02,684.034,LL5NP,NP_5
1,bas,ste,1,130518,bas_ste_run1_130518,NN,6,1,parrot,1600,1,1163,2,2,192628,201443,202606,106615,5,86.013,94.828,95.991,28.422,256.419,484.416,228.024,456.02,684.034,not5NN,NN_6
1,bas,ste,1,130518,bas_ste_run1_130518,NP,8,2,chance,2800,1,982,1,1,204643,213441,214423,106615,6,98.028,106.826,107.808,28.422,256.419,484.416,228.024,456.02,684.034,not5NP,NP_8
1,bas,ste,1,130518,bas_ste_run1_130518,NN,5,2,blur,1600,0,1401,1,2,217841,226639,228040,106615,7,111.226,120.024,121.425,28.422,256.419,484.416,228.024,456.02,684.034,LL5NN,NN_5
1,bas,ste,1,130518,bas_ste_run1_130518,NP,7,2,rash,2800,1,1174,1,1,229839,238637,239811,106615,8,123.224,132.022,133.196,28.422,256.419,484.416,228.024,456.02,684.034,not5NP,NP_7
1,bas,ste,1,130518,bas_ste_run1_130518,NN,5,2,tube,1600,1,1140,2,2,243037,251835,252975,106615,9,136.422,145.22,146.36,28.422,256.419,484.416,228.024,456.02,684.034,LL5NN,NN_5
1,bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,share,2800,0,1082,2,1,255035,263833,264915,106615,10,148.42,157.218,158.3,28.422,256.419,484.416,228.024,456.02,684.034,LL5NP,NP_5
1,bas,ste,1,130518,bas_ste_run1_130518,NP,7,2,wealth,2800,1,967,1,1,268233,277031,277998,106615,11,161.618,170.416,171.383,28.422,256.419,484.416,228.024,456.02,684.034,not5NP,NP_7
1,bas,ste,1,130518,bas_ste_run1_130518,NP,8,2,bush,1600,1,1098,1,1,281431,290229,291327,106615,12,174.816,183.614,184.712,28.422,256.419,484.416,228.024,456.02,684.034,not5NP,NP_8
1,bas,ste,1,130518,bas_ste_run1_130518,NN,7,1,straw,2800,1,1021,2,2,293429,302227,303248,106615,13,186.814,195.612,196.633,28.422,256.419,484.416,228.024,456.02,684.034,not5NN,NN_7
1,bas,ste,1,130518,bas_ste_run1_130518,NP,6,1,frost,4000,1,1249,1,1,306643,315442,316691,106615,14,200.028,208.827,210.076,28.422,256.419,484.416,228.024,456.02,684.034,not5NP,NP_6
1,bas,ste,1,130518,bas_ste_run1_130518,RN,5,1,quart,4000,0,1571,1,2,321041,329839,331410,106615,15,214.426,223.224,224.795,28.422,256.419,484.416,228.024,456.02,684.034,LL5RN,RN_5
1,bas,ste,1,130518,bas_ste_run1_130518,NN,6,1,taxi,4000,0,1348,1,2,365434,374232,375580,106615,16,258.819,267.617,268.965,28.422,256.419,484.416,228.024,456.02,684.034,not5NN,NN_6
1,bas,ste,1,130518,bas_ste_run1_130518,NN,8,2,liar,4000,1,1170,2,2,379831,388630,389800,106615,17,273.216,282.015,283.185,28.422,256.419,484.416,228.024,456.02,684.034,not5NN,NN_8
1,bas,ste,1,130518,bas_ste_run1_130518,NP,7,2,need,2800,0,1153,2,1,394229,403028,404181,106615,18,287.614,296.413,297.566,28.422,256.419,484.416,228.024,456.02,684.034,not5NP,NP_7
1,bas,ste,1,130518,bas_ste_run1_130518,NP,7,2,bean,2800,1,1070,1,1,407427,416242,417312,106615,19,300.812,309.627,310.697,28.422,256.419,484.416,228.024,456.02,684.034,not5NP,NP_7
1,bas,ste,1,130518,bas_ste_run1_130518,NP,8,3,bees,4000,1,908,1,1,420642,429440,430348,106615,20,314.027,322.825,323.733,28.422,256.419,484.416,228.024,456.02,684.034,not5NP,NP_8
1,bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,visit,4000,1,1027,1,1,435039,443838,444865,106615,21,328.424,337.223,338.25,28.422,256.419,484.416,228.024,456.02,684.034,LL5NP,NP_5
1,bas,ste,1,130518,bas_ste_run1_130518,NN,7,1,logic,2800,1,1159,2,2,449437,458236,459395,106615,22,342.822,351.621,352.78,28.422,256.419,484.416,228.024,456.02,684.034,not5NN,NN_7
