wave,session,task,run,subj,name,stimuli,number,letter,trial.type,cue,number.resp,letter.resp,award,switch,cue.color,target.color,target.color.orig,incentive,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,trialtype
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,4D,e,c,InCon,n,1,2,,,red,black,green,Inc,3200,1,597,1,1,124918,129411,130008,93799,1,31.119,35.612,36.209,28.413,274.424,520.421,246.025,492.023,738.021,InConInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,2A,e,v,Con,n,1,1,,stay,red,black,black,NoInc,2000,1,853,1,1,136918,141411,142264,93799,2,43.119,47.612,48.465,28.413,274.424,520.421,246.025,492.023,738.021,ConNoInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,D4,e,c,InCon,l,1,2,,switch,red,black,green,Inc,4400,1,1434,2,2,147717,152210,153644,93799,3,53.918,58.411,59.845,28.413,274.424,520.421,246.025,492.023,738.021,InConInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,E3,o,v,InCon,l,2,1,,stay,red,black,green,Inc,2000,1,860,1,1,160916,165422,166282,93799,4,67.117,71.623,72.483,28.413,274.424,520.421,246.025,492.023,738.021,InConInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,B2,e,c,InCon,n,1,2,,switch,red,black,black,NoInc,3200,1,761,1,1,171715,176222,176983,93799,5,77.916,82.423,83.184,28.413,274.424,520.421,246.025,492.023,738.021,InConNoInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,1A,o,v,InCon,l,2,1,,switch,red,black,black,NoInc,4400,1,760,1,1,183715,188221,188981,93799,6,89.916,94.422,95.182,28.413,274.424,520.421,246.025,492.023,738.021,InConNoInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,1B,o,c,Con,l,2,2,,stay,red,black,black,NoInc,2000,1,1257,2,2,196914,201420,202677,93799,7,103.115,107.621,108.878,28.413,274.424,520.421,246.025,492.023,738.021,ConNoInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,6I,e,v,Con,n,1,1,,switch,red,black,green,Inc,3200,1,734,1,1,207713,212219,212953,93799,8,113.914,118.42,119.154,28.413,274.424,520.421,246.025,492.023,738.021,ConInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,I6,e,v,Con,l,1,1,,switch,red,black,green,Inc,4400,1,992,1,1,219712,224219,225211,93799,9,125.913,130.42,131.412,28.413,274.424,520.421,246.025,492.023,738.021,ConInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,I6,e,v,Con,n,1,1,,switch,red,black,black,NoInc,3200,1,1109,1,1,232911,237418,238527,93799,10,139.112,143.619,144.728,28.413,274.424,520.421,246.025,492.023,738.021,ConNoInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,D4,e,c,InCon,n,1,2,,stay,red,black,green,Inc,3200,1,896,1,1,244911,249417,250313,93799,11,151.112,155.618,156.514,28.413,274.424,520.421,246.025,492.023,738.021,InConInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,1B,o,c,Con,n,2,2,,stay,red,black,black,NoInc,2000,1,1196,2,2,256910,261416,262612,93799,12,163.111,167.617,168.813,28.413,274.424,520.421,246.025,492.023,738.021,ConNoInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,A2,e,v,Con,n,1,1,,stay,red,black,black,NoInc,2000,1,989,1,1,267722,272216,273205,93799,13,173.923,178.417,179.406,28.413,274.424,520.421,246.025,492.023,738.021,ConNoInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,B1,o,c,Con,n,2,2,,stay,red,black,black,NoInc,4400,1,1066,2,2,278522,283015,284081,93799,14,184.723,189.216,190.282,28.413,274.424,520.421,246.025,492.023,738.021,ConNoInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,H5,o,c,Con,l,2,2,,switch,red,black,black,NoInc,4400,0,1292,1,2,291721,296214,297506,93799,15,197.922,202.415,203.707,28.413,274.424,520.421,246.025,492.023,738.021,ConNoInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,A2,e,v,Con,l,1,1,,stay,red,black,black,NoInc,4400,1,1209,1,1,304920,309413,310622,93799,16,211.121,215.614,216.823,28.413,274.424,520.421,246.025,492.023,738.021,ConNoInc
1,bas,cue,1,DMCC8760894,bas_cue_run1_DMCC8760894,5H,o,c,Con,l,2,2,,stay,red,black,black,NoInc,2000,1,1226,2,2,318119,322612,323838,93799,17,224.32,228.813,230.039,28.413,274.424,520.421,246.025,492.023,738.021,ConNoInc
