wave,session,task,run,subj,name,trial.type,load,numtrials,probe,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,trialtype,trialtype_alt
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,5,3,syrup,2800,1,839,1,1,153750,162549,163388,122942,1,30.808,39.607,40.446,28.408,256.404,484.414,228.02,456.016,684.013,LL5NP,NP_5
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,8,2,scale,1600,1,958,2,2,166949,175748,176706,122942,2,44.007,52.806,53.764,28.408,256.404,484.414,228.02,456.016,684.013,not5NN,NN_8
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,8,2,doll,1600,1,867,2,2,178948,187747,188614,122942,3,56.006,64.805,65.672,28.408,256.404,484.414,228.02,456.016,684.013,not5NN,NN_8
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,5,3,threat,4000,1,941,1,1,190947,199746,200687,122942,4,68.005,76.804,77.745,28.408,256.404,484.414,228.02,456.016,684.013,LL5NP,NP_5
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,6,1,parrot,1600,1,856,2,2,205346,214145,215001,122942,5,82.404,91.203,92.059,28.408,256.404,484.414,228.02,456.016,684.013,not5NN,NN_6
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,8,2,chance,2800,1,796,1,1,217345,226144,226940,122942,6,94.403,103.202,103.998,28.408,256.404,484.414,228.02,456.016,684.013,not5NP,NP_8
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,5,2,blur,2800,1,873,2,2,230544,239343,240216,122942,7,107.602,116.401,117.274,28.408,256.404,484.414,228.02,456.016,684.013,LL5NN,NN_5
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,7,2,rash,4000,1,937,1,1,243743,252556,253493,122942,8,120.801,129.614,130.551,28.408,256.404,484.414,228.02,456.016,684.013,not5NP,NP_7
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,5,2,tube,4000,1,771,2,2,258155,266955,267726,122942,9,135.213,144.013,144.784,28.408,256.404,484.414,228.02,456.016,684.013,LL5NN,NN_5
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,5,3,share,1600,1,823,1,1,272554,281354,282177,122942,10,149.612,158.412,159.235,28.408,256.404,484.414,228.02,456.016,684.013,LL5NP,NP_5
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,7,2,wealth,4000,1,773,1,1,284553,293353,294126,122942,11,161.611,170.411,171.184,28.408,256.404,484.414,228.02,456.016,684.013,not5NP,NP_7
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,8,2,bush,4000,0,1488,2,1,298952,307752,309240,122942,12,176.01,184.81,186.298,28.408,256.404,484.414,228.02,456.016,684.013,not5NP,NP_8
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,7,1,straw,2800,1,791,2,2,313351,322151,322942,122942,13,190.409,199.209,200,28.408,256.404,484.414,228.02,456.016,684.013,not5NN,NN_7
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,6,1,frost,2800,1,954,1,1,326550,335350,336304,122942,14,203.608,212.408,213.362,28.408,256.404,484.414,228.02,456.016,684.013,not5NP,NP_6
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,RN,5,1,quart,1600,1,790,2,2,339749,348549,349339,122942,15,216.807,225.607,226.397,28.408,256.404,484.414,228.02,456.016,684.013,LL5RN,RN_5
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,6,1,taxi,2800,1,724,2,2,381746,390546,391270,122942,16,258.804,267.604,268.328,28.408,256.404,484.414,228.02,456.016,684.013,not5NN,NN_6
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,8,2,liar,2800,1,756,2,2,394945,403745,404501,122942,17,272.003,280.803,281.559,28.408,256.404,484.414,228.02,456.016,684.013,not5NN,NN_8
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,7,2,need,1600,1,1195,1,1,408144,416944,418139,122942,18,285.202,294.002,295.197,28.408,256.404,484.414,228.02,456.016,684.013,not5NP,NP_7
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,7,2,bean,4000,1,932,1,1,420143,428943,429875,122942,19,297.201,306.001,306.933,28.408,256.404,484.414,228.02,456.016,684.013,not5NP,NP_7
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,8,3,bees,1600,1,748,1,1,434556,443355,444103,122942,20,311.614,320.413,321.161,28.408,256.404,484.414,228.02,456.016,684.013,not5NP,NP_8
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,5,3,visit,1600,1,1086,1,1,446555,455354,456440,122942,21,323.613,332.412,333.498,28.408,256.404,484.414,228.02,456.016,684.013,LL5NP,NP_5
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,7,1,logic,1600,1,1196,2,2,458554,467353,468549,122942,22,335.612,344.411,345.607,28.408,256.404,484.414,228.02,456.016,684.013,not5NN,NN_7
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,5,3,people,4000,1,754,1,1,470553,479352,480106,122942,23,347.611,356.41,357.164,28.408,256.404,484.414,228.02,456.016,684.013,LL5NP,NP_5
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,8,2,heater,2800,1,914,2,2,484952,493751,494665,122942,24,362.01,370.809,371.723,28.408,256.404,484.414,228.02,456.016,684.013,not5NN,NN_8
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,RN,5,1,noise,4000,1,942,2,2,498151,506950,507892,122942,25,375.209,384.008,384.95,28.408,256.404,484.414,228.02,456.016,684.013,LL5RN,RN_5
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,5,2,pole,4000,1,850,2,2,512550,521349,522199,122942,26,389.608,398.407,399.257,28.408,256.404,484.414,228.02,456.016,684.013,LL5NN,NN_5
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,8,3,city,2800,1,979,1,1,526949,535748,536727,122942,27,404.007,412.806,413.785,28.408,256.404,484.414,228.02,456.016,684.013,not5NP,NP_8
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,8,3,carpet,2800,1,729,1,1,540148,548947,549676,122942,28,417.206,426.005,426.734,28.408,256.404,484.414,228.02,456.016,684.013,not5NP,NP_8
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NP,5,3,tags,1600,1,762,1,1,553347,562146,562908,122942,29,430.405,439.204,439.966,28.408,256.404,484.414,228.02,456.016,684.013,LL5NP,NP_5
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,5,2,greed,4000,1,928,2,2,565346,574145,575073,122942,30,442.404,451.203,452.131,28.408,256.404,484.414,228.02,456.016,684.013,LL5NN,NN_5
2,bas,ste,1,DMCC8033964,bas_ste_run1_DMCC8033964,NN,5,2,pans,1600,1,686,2,2,609743,618556,619242,122942,31,486.801,495.614,496.3,28.408,256.404,484.414,228.02,456.016,684.013,LL5NN,NN_5
