wave,session,task,run,subj,name,trialtype,iti,cue,probe,target.color,location,cue.cresp,cresp,cue.rt,cue.acc,cue.resp,rt,acc,resp,trialacc,time.cue.onset.abs,time.target.onset.abs,time.target.rt.abs,time.cue.rt.abs,time.scan.start,trial.num,time.cue.onset,time.cue.rt,time.target.onset,time.target.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,2800,A,X,white,center,1,2,467,1,1,704,1,2,1,138123,142923,143627,138590,107511,1,30.612,31.079,35.412,36.116,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,Ang,1600,A,7,white,center,1,,645,1,1,0,1,,1,146523,151322,0,147168,107511,2,39.012,39.657,43.811,-107.511,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BX,4000,U,X,white,center,1,1,715,1,1,736,1,1,1,153722,158522,159258,154437,107511,3,46.211,46.926,51.011,51.747,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,2800,U,P,white,center,1,1,787,1,1,774,1,1,1,163322,168121,168895,164109,107511,4,55.811,56.598,60.61,61.384,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,1600,N,U,white,center,1,1,785,1,1,639,1,1,1,171721,176521,177160,172506,107511,5,64.21,64.995,69.01,69.649,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,2800,C,M,white,center,1,1,769,1,1,651,1,1,1,178920,183720,184371,179689,107511,6,71.409,72.178,76.209,76.86,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,1600,M,F,white,center,1,1,694,1,1,717,1,1,1,187320,192119,192836,188014,107511,7,79.809,80.503,84.608,85.325,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,Bng,4000,T,9,white,center,1,,889,1,1,0,1,,1,194519,199319,0,195408,107511,8,87.008,87.897,91.808,-107.511,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,Bng,4000,P,4,white,center,1,,785,1,1,0,1,,1,204119,208918,0,204904,107511,9,96.608,97.393,101.407,-107.511,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AY,2800,A,T,white,center,1,1,781,1,1,696,1,1,1,213718,218518,219214,214499,107511,10,106.207,106.988,111.007,111.703,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,4000,A,X,white,center,1,2,785,1,1,699,1,2,1,222117,226917,227616,222902,107511,11,114.606,115.391,119.406,120.105,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AY,1600,A,D,white,center,1,1,614,1,1,672,1,1,1,231717,236516,237188,232331,107511,12,124.206,124.82,129.005,129.677,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,1600,A,X,white,center,1,2,977,1,1,584,1,2,1,238916,243716,244300,239893,107511,13,131.405,132.382,136.205,136.789,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,1600,A,X,white,center,1,2,665,1,1,621,1,2,1,246115,250928,251549,246780,107511,14,138.604,139.269,143.417,144.038,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,4000,D,T,white,center,1,1,629,1,1,583,1,1,1,253328,258128,258711,253957,107511,15,145.817,146.446,150.617,151.2,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,2800,N,P,white,center,1,1,581,1,1,546,1,1,1,262928,267727,268273,263509,107511,16,155.417,155.998,160.216,160.762,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,Ang,2800,A,5,white,center,1,,656,1,1,0,1,,1,271327,276127,0,271983,107511,17,163.816,164.472,168.616,-107.511,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,4000,P,M,white,center,1,1,584,1,1,525,1,1,1,279726,284526,285051,280310,107511,18,172.215,172.799,177.015,177.54,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,1600,F,M,white,center,1,1,582,1,1,540,1,1,1,289326,294125,294665,289908,107511,19,181.815,182.397,186.614,187.154,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,1600,A,X,white,center,1,2,801,1,1,498,1,2,1,296525,301325,301823,297326,107511,20,189.014,189.815,193.814,194.312,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,4000,A,X,white,center,1,2,610,1,1,472,1,2,1,303725,308524,308996,304335,107511,21,196.214,196.824,201.013,201.485,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BX,2800,C,X,white,center,1,1,794,1,1,575,1,1,1,313324,318124,318699,314118,107511,22,205.813,206.607,210.613,211.188,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,2800,A,X,white,center,1,2,885,1,1,558,1,2,1,321723,326523,327081,322608,107511,23,214.212,215.097,219.012,219.57,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,4000,A,X,white,center,1,2,749,1,1,504,1,2,1,330123,334922,335426,330872,107511,24,222.612,223.361,227.411,227.915,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,2800,H,T,white,center,1,1,549,1,1,642,1,1,1,369720,374519,375161,370269,107511,25,262.209,262.758,267.008,267.65,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,1600,T,N,white,center,1,1,645,1,1,588,1,1,1,378119,382919,383507,378764,107511,26,270.608,271.253,275.408,275.996,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,4000,A,X,white,center,1,2,767,1,1,608,1,2,1,385319,390118,390726,386086,107511,27,277.808,278.575,282.607,283.215,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BX,4000,M,X,white,center,1,1,545,1,1,779,1,1,1,394918,399718,400497,395463,107511,28,287.407,287.952,292.207,292.986,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BX,1600,F,X,white,center,1,1,533,1,1,589,1,1,1,404517,409317,409906,405050,107511,29,297.006,297.539,301.806,302.395,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,1600,H,U,white,center,1,1,645,1,1,489,1,1,1,411717,416516,417005,412362,107511,30,304.206,304.851,309.005,309.494,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,4000,A,X,white,center,1,2,753,1,1,447,1,2,1,418916,423716,424163,419669,107511,31,311.405,312.158,316.205,316.652,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,2800,D,N,white,center,1,1,992,1,1,993,1,1,1,428529,433328,434321,429521,107511,32,321.018,322.01,325.817,326.81,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,2800,C,D,white,center,1,1,681,1,1,616,1,1,1,436928,441728,442344,437609,107511,33,329.417,330.098,334.217,334.833,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,1600,A,X,white,center,1,2,590,1,1,506,1,2,1,445328,450127,450633,445918,107511,34,337.817,338.407,342.616,343.122,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,4000,A,X,white,center,1,2,533,1,1,474,1,2,1,452527,457327,457801,453060,107511,35,345.016,345.549,349.816,350.29,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,Ang,2800,A,9,white,center,1,,580,1,1,0,1,,1,462126,466926,0,462706,107511,36,354.615,355.195,359.415,-107.511,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,Bng,4000,C,8,white,center,1,,635,1,1,0,1,,1,470526,475325,0,471161,107511,37,363.015,363.65,367.814,-107.511,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,2800,U,D,white,center,1,1,609,1,1,681,1,1,1,480125,484925,485606,480734,107511,38,372.614,373.223,377.414,378.095,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,AX,1600,A,X,white,center,1,2,671,1,1,530,1,2,1,488524,493324,493854,489195,107511,39,381.013,381.684,385.813,386.343,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,1600,P,H,white,center,1,1,644,1,1,507,1,1,1,495724,500524,501031,496368,107511,40,388.213,388.857,393.013,393.52,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,Bng,4000,D,4,white,center,1,,662,1,1,0,1,,1,502923,507723,0,503585,107511,41,395.412,396.074,400.212,-107.511,28.413,260.009,491.605,231.624,463.221,694.83
2,bas,axc,1,DMCC8033964,bas_axc_run1_DMCC8033964,BY,2800,M,P,white,center,1,1,792,1,1,697,1,1,1,512523,517322,518019,513315,107511,42,405.012,405.804,409.811,410.508,28.413,260.009,491.605,231.624,463.221,694.83
