wave,session,task,run,subj,name,stimuli,number,letter,trial.type,cue,number.resp,letter.resp,award,switch,cue.color,target.color,target.color.orig,incentive,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,trialtype
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,6I,e,v,Con,n,1,1,,stay,red,black,green,Inc,4400,1,951,1,1,261320,265827,266778,111413,11,149.907,154.414,155.365,28.41,274.405,520.414,246.02,492.016,738.011,ConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,5H,o,c,Con,l,2,2,,switch,red,black,black,NoInc,3200,1,789,2,2,274519,279026,279815,111413,12,163.106,167.613,168.402,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,E3,o,v,InCon,l,2,1,,stay,red,black,green,Inc,2000,1,945,1,1,286519,291025,291970,111413,13,175.106,179.612,180.557,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,D4,e,c,InCon,n,1,2,,switch,red,black,green,Inc,4400,1,761,1,1,297318,301824,302585,111413,14,185.905,190.411,191.172,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,A2,e,v,Con,l,1,1,,switch,red,black,black,NoInc,2000,1,878,1,1,310517,315023,315901,111413,15,199.104,203.61,204.488,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,I6,e,v,Con,l,1,1,,stay,red,black,green,Inc,3200,1,929,1,1,321316,325822,326751,111413,16,209.903,214.409,215.338,28.41,274.405,520.414,246.02,492.016,738.011,ConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,B1,o,c,Con,l,2,2,,stay,red,black,black,NoInc,4400,1,857,2,2,333315,337821,338678,111413,17,221.902,226.408,227.265,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,D4,e,c,InCon,l,1,2,,stay,red,black,green,Inc,3200,1,1033,2,2,346527,351020,352053,111413,18,235.114,239.607,240.64,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,1B,o,c,Con,l,2,2,,,red,black,black,NoInc,4400,1,749,2,2,388524,393017,393766,111413,19,277.111,281.604,282.353,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,1B,o,c,Con,n,2,2,,switch,red,black,black,NoInc,4400,1,951,2,2,401723,406216,407167,111413,20,290.31,294.803,295.754,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,5H,o,c,Con,n,2,2,,stay,red,black,green,Inc,4400,1,728,2,2,414922,419415,420143,111413,21,303.509,308.002,308.73,28.41,274.405,520.414,246.02,492.016,738.011,ConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,I6,e,v,Con,l,1,1,,switch,red,black,black,NoInc,2000,1,1012,1,1,428121,432628,433640,111413,22,316.708,321.215,322.227,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,3E,o,v,InCon,n,2,1,,switch,red,black,green,Inc,2000,1,703,2,2,438921,443427,444130,111413,23,327.508,332.014,332.717,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,3E,o,v,InCon,l,2,1,,switch,red,black,green,Inc,3200,1,732,1,1,449720,454226,454958,111413,24,338.307,342.813,343.545,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,2A,e,v,Con,n,1,1,,switch,red,black,black,NoInc,3200,1,840,1,1,461719,466225,467065,111413,25,350.306,354.812,355.652,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,E3,o,v,InCon,n,2,1,,stay,red,black,green,Inc,2000,1,1029,2,2,473718,478224,479253,111413,26,362.305,366.811,367.84,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,A1,o,v,InCon,n,2,1,,stay,red,black,black,NoInc,3200,1,726,2,2,484517,489024,489750,111413,27,373.104,377.611,378.337,28.41,274.405,520.414,246.02,492.016,738.011,InConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,B1,o,c,Con,l,2,2,,switch,red,black,black,NoInc,4400,1,649,2,2,496516,501023,501672,111413,28,385.103,389.61,390.259,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,D4,e,c,InCon,l,1,2,,stay,red,black,green,Inc,4400,1,893,2,2,509716,514222,515115,111413,29,398.303,402.809,403.702,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,2B,e,c,InCon,l,1,2,,stay,red,black,black,NoInc,3200,1,924,2,2,522915,527421,528345,111413,30,411.502,416.008,416.932,28.41,274.405,520.414,246.02,492.016,738.011,InConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,2A,e,v,Con,l,1,1,,stay,red,black,black,NoInc,4400,1,679,1,1,534927,539420,540099,111413,31,423.514,428.007,428.686,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,A2,e,v,Con,n,1,1,,switch,red,black,black,NoInc,2000,1,660,1,1,548126,552619,553279,111413,32,436.713,441.206,441.866,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,2A,e,v,Con,l,1,1,,switch,red,black,black,NoInc,2000,1,832,1,1,558925,563418,564250,111413,33,447.512,452.005,452.837,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,E3,o,v,InCon,n,2,1,,switch,red,black,green,Inc,3200,1,1036,2,2,569724,574217,575253,111413,34,458.311,462.804,463.84,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,5H,o,c,Con,l,2,2,,switch,red,black,black,NoInc,2000,1,715,2,2,581724,586217,586932,111413,35,470.311,474.804,475.519,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,6I,e,v,Con,n,1,1,,switch,red,black,black,NoInc,3200,1,765,1,1,592523,597016,597781,111413,36,481.11,485.603,486.368,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
