wave,session,task,run,subj,name,stimuli,number,letter,trial.type,cue,number.resp,letter.resp,award,switch,cue.color,target.color,target.color.orig,incentive,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,trialtype
1,bas,cue,1,130518,bas_cue_run1_130518,B1,o,c,Con,l,2,2,,,red,black,black,NoInc,2000,0,0,,2,133860,138359,0,102752,1,31.108,35.607,-102.752,28.409,274.402,520.413,246.024,492.018,738.011,ConNoInc
1,bas,cue,1,130518,bas_cue_run1_130518,1B,o,c,Con,l,2,2,,stay,red,black,black,NoInc,2000,1,704,2,2,144658,149158,149862,102752,2,41.906,46.406,47.11,28.409,274.402,520.413,246.024,492.018,738.011,ConNoInc
1,bas,cue,1,130518,bas_cue_run1_130518,H5,o,c,Con,l,2,2,,stay,red,black,black,NoInc,2000,1,821,2,2,155457,159956,160777,102752,3,52.705,57.204,58.025,28.409,274.402,520.413,246.024,492.018,738.011,ConNoInc
1,bas,cue,1,130518,bas_cue_run1_130518,2A,e,v,Con,n,1,1,,switch,red,black,black,NoInc,4400,1,598,1,1,166255,170754,171352,102752,4,63.503,68.002,68.6,28.409,274.402,520.413,246.024,492.018,738.011,ConNoInc
1,bas,cue,1,130518,bas_cue_run1_130518,I6,e,v,Con,l,1,1,,switch,red,black,green,Inc,3200,1,1369,1,1,179453,183952,185321,102752,5,76.701,81.2,82.569,28.409,274.402,520.413,246.024,492.018,738.011,ConInc
1,bas,cue,1,130518,bas_cue_run1_130518,D4,e,c,InCon,l,1,2,,stay,red,black,green,Inc,3200,1,1041,2,2,191468,195967,197008,102752,6,88.716,93.215,94.256,28.409,274.402,520.413,246.024,492.018,738.011,InConInc
1,bas,cue,1,130518,bas_cue_run1_130518,1A,o,v,InCon,l,2,1,,stay,red,black,black,NoInc,3200,1,1430,1,1,203466,207965,209395,102752,7,100.714,105.213,106.643,28.409,274.402,520.413,246.024,492.018,738.011,InConNoInc
1,bas,cue,1,130518,bas_cue_run1_130518,4D,e,c,InCon,n,1,2,,switch,red,black,green,Inc,4400,1,1616,1,1,215464,219963,221579,102752,8,112.712,117.211,118.827,28.409,274.402,520.413,246.024,492.018,738.011,InConInc
1,bas,cue,1,130518,bas_cue_run1_130518,A2,e,v,Con,l,1,1,,switch,red,black,black,NoInc,4400,1,1099,1,1,228662,233161,234260,102752,9,125.91,130.409,131.508,28.409,274.402,520.413,246.024,492.018,738.011,ConNoInc
1,bas,cue,1,130518,bas_cue_run1_130518,D4,e,c,InCon,n,1,2,,switch,red,black,green,Inc,3200,1,1840,1,1,241859,246359,248199,102752,10,139.107,143.607,145.447,28.409,274.402,520.413,246.024,492.018,738.011,InConInc
1,bas,cue,1,130518,bas_cue_run1_130518,A2,e,v,Con,n,1,1,,stay,red,black,black,NoInc,2000,1,834,1,1,253858,258357,259191,102752,11,151.106,155.605,156.439,28.409,274.402,520.413,246.024,492.018,738.011,ConNoInc
1,bas,cue,1,130518,bas_cue_run1_130518,E3,o,v,InCon,l,2,1,,switch,red,black,green,Inc,3200,1,880,1,1,264656,269155,270035,102752,12,161.904,166.403,167.283,28.409,274.402,520.413,246.024,492.018,738.011,InConInc
1,bas,cue,1,130518,bas_cue_run1_130518,5H,o,c,Con,l,2,2,,stay,red,black,black,NoInc,2000,1,961,2,2,276654,281153,282114,102752,13,173.902,178.401,179.362,28.409,274.402,520.413,246.024,492.018,738.011,ConNoInc
1,bas,cue,1,130518,bas_cue_run1_130518,6I,e,v,Con,n,1,1,,switch,red,black,green,Inc,4400,1,988,1,1,287452,291968,292956,102752,14,184.7,189.216,190.204,28.409,274.402,520.413,246.024,492.018,738.011,ConInc
