wave,session,task,run,subj,name,word,trial.type,pc,color,iti,time.target.onset.abs,time.scan.start,trial.num,listener1,listener2,cresp,response.final,acc.final,rt,item,time.target.onset,time.rt.abs,time.rt,acc,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,trialtype,resp
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,RED,Con,bias,red,3600,97955,67248,1,red,red,red,red,1,785.5,redRED,30.707,98740.5,816.207,1,28.414,231.214,434.014,202.829,405.629,608.43,biasCon,red
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,PURPLE,Con,bias,purple,2400,103955,67248,2,purple,purple,purple,purple,1,741.5,purplePURPLE,36.707,104696.5,778.207,1,28.414,231.214,434.014,202.829,405.629,608.43,biasCon,purple
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,PURPLE,Con,bias,purple,2400,108754,67248,3,purple,purple,purple,purple,1,752.5,purplePURPLE,41.506,109506.5,794.006,1,28.414,231.214,434.014,202.829,405.629,608.43,biasCon,purple
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,BLUE,Con,bias,blue,1200,113554,67248,4,blue,blue,blue,blue,1,775.5,blueBLUE,46.306,114329.5,821.806,1,28.414,231.214,434.014,202.829,405.629,608.43,biasCon,blue
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,WHITE,Con,bias,white,1200,117154,67248,5,white,white,white,white,1,809,whiteWHITE,49.906,117963,858.906,1,28.414,231.214,434.014,202.829,405.629,608.43,biasCon,white
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,YELLOW,InCon,PC50,black,1200,120753,67248,6,black,black,black,black,1,934,blackYELLOW,53.505,121687,987.505,1,28.414,231.214,434.014,202.829,405.629,608.43,PC50InCon,black
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,PURPLE,Con,bias,purple,2400,124353,67248,7,purple,purple,purple,purple,1,782,purplePURPLE,57.105,125135,839.105,1,28.414,231.214,434.014,202.829,405.629,608.43,biasCon,purple
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,GREEN,InCon,PC50,pink,3600,129153,67248,8,pink,pink,pink,pink,1,887,pinkGREEN,61.905,130040,948.905,1,28.414,231.214,434.014,202.829,405.629,608.43,PC50InCon,pink
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,PINK,InCon,PC50,black,3600,135153,67248,9,black,black,black,black,1,643.5,blackPINK,67.905,135796.5,711.405,1,28.414,231.214,434.014,202.829,405.629,608.43,PC50InCon,black
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,BLUE,Con,bias,blue,2400,141165,67248,10,blue,pink,blue,blue,1,754,blueBLUE,73.917,141919,827.917,1,28.414,231.214,434.014,202.829,405.629,608.43,biasCon,blue
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,WHITE,Con,bias,white,3600,145965,67248,11,white,white,white,white,1,757,whiteWHITE,78.717,146722,835.717,1,28.414,231.214,434.014,202.829,405.629,608.43,biasCon,white
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,PINK,Con,PC50,pink,1200,151965,67248,12,pink,pink,pink,pink,1,703,pinkPINK,84.717,152668,787.717,1,28.414,231.214,434.014,202.829,405.629,608.43,PC50Con,pink
1,bas,stp,1,DMCC8760894,bas_stp_run1_DMCC8760894,PURPLE,InCon,bias,red,1200,155565,67248,13,red,red,red,red,1,817,redPURPLE,88.317,156382,905.317,1,28.414,231.214,434.014,202.829,405.629,608.43,biasInCon,red
